# catalogo de jogos do Astra — nome de executavel -> titulo
# destilado de https://discord.com/api/v9/applications/detectable
# 11104 entradas · instantaneo de 2026-08-27
# refazer com: node tools/atualizar-catalogo-de-jogos.mjs
-arcane raise-/game.exe	Arcane Raise
the genesis order/game.exe	The Genesis Order
the genesis project/the genesis project.exe	The Genesis Project
the ghost train/theghosttrain.exe	The Ghost Train
the goatman/the goatman.exe	The Goatman
the good time garden/the good time garden.exe	The Good Time Garden
the great circle/thegreatcircle.exe	Indiana Jones and the Great Circle
the greatest penguin heist of all time/penguin heist.exe	The Greatest Penguin Heist of All Time
the grey dream/thegreydream.exe	The Grey Dream
the guild ii - pirates of the european seas/guildii.exe	The Guild 2: Pirates of the European Seas
the happyhills homicide/thehappyhillshomicide.exe	The Happyhills Homicide
the hardest game ever/the hardest game ever.exe	The Hardest Game Ever
the haunted island a frog detective game/the_haunted_island.exe	Frog Detective 1: The Haunted Island
the heiress/game.exe	The Heiress
the hex/thehex.exe	The Hex
the hong kong massacre/thkm.exe	The Hong Kong Massacre
the horus heresy legions/horusheresylegions.exe	Warhammer: The Horus Heresy - Legions
the house in fata morgana/fata.exe	The House in Fata Morgana
the house of da vinci 2/thodv2.exe	The House of Da Vinci 2
the house of da vinci 3/the house of da vinci 3.exe	The House of Da Vinci 3
the house of da vinci/the house of da vinci.exe	The House of Da Vinci
the house of the dead remake/the house of the dead remake.exe	THE HOUSE OF THE DEAD: Remake
the hundred line -last defense academy- demo ver/hundred_line_demo.exe	The Hundred Line -Last Defense Academy- Demo Ver.
the hundred line -last defense academy-/hundred_line.exe	The Hundred Line: Last Defense Academy
the i of the dragon/theiofthedragon.exe	The I of the Dragon
the imperial gatekeeper/game.exe	The Imperial Gatekeeper
the incredible adventures of van helsing final cut/vanhelsing_x64_win10.exe	The Incredible Adventures of Van Helsing: Final Cut
the incredible adventures of van helsing ii/vanhelsing_x64.exe	The Incredible Adventures of Van Helsing II
the incredible adventures of van helsing iii/vanhelsing_x64.exe	The Incredible Adventures of Van Helsing III
the incredible adventures of van helsing/vanhelsing_x64.exe	The Incredible Adventures of Van Helsing
the invisible hand/the invisible hand.exe	The Invisible Hand
the iron oath/the iron oath.exe	The Iron Oath
the jackbox naughty pack/the jackbox naughty pack.exe	The Jackbox Naughty Pack
the jackbox party pack 10/the jackbox party pack 10.exe	The Jackbox Party Pack 10
the jackbox party pack 11/the jackbox party pack 11.exe	The Jackbox Party Pack 11
the jackbox party pack 2.exe	The Jackbox Party Pack 2
the jackbox party pack 3.exe	The Jackbox Party Pack 3
the jackbox party pack 4.exe	The Jackbox Party Pack 4
the jackbox party pack 5/the jackbox party pack 5.exe	The Jackbox Party Pack 5
the jackbox party pack 6/the jackbox party pack 6.exe	The Jackbox Party Pack 6
the jackbox party pack 7/the jackbox party pack 7.exe	The Jackbox Party Pack 7
the jackbox party pack 8/the jackbox party pack 8.exe	The Jackbox Party Pack 8
the jackbox party pack 9/the jackbox party pack 9.exe	The Jackbox Party Pack 9
the jackbox party starter/the jackbox party starter.exe	The Jackbox Party Starter
the jackbox survey scramble/the jackbox survey scramble.exe	The Jackbox Survey Scramble
the karaoke/karaoke.exe	The Karaoke
the king is watching/the king is watching.exe	The King is Watching
the king of fighters '97 global match/kof97.exe	The King of Fighters '97 Global Match
the king of fighters xiv/kofxiv.exe	The King of Fighters XIV Steam Edition
the king of fighters'98 ultimate match/kingoffighters98um_x64.exe	The King of Fighters '98 Ultimate Match Final Edition
the kite/the kite.exe	The Kite
the labyrinth/the labyrinth.exe	The Labyrinth
the lancaster leak - crisis at call center/crisis at call center.exe	The Lancaster Leak: Crisis at Call Center
the lancaster leak - entity exam/the lancaster leak - entity exam.exe	The Lancaster Leak: Entity Exam
the last campfire demo/the last campfire.exe	The Last Campfire Demo
the last campfire/the last campfire.exe	The Last Campfire
the last door ce/the last door ce.exe	The Last Door: Collector's Edition
the last faith/the last faith.exe	The Last Faith
the last flame prologue/the last flame.exe	The Last Flame: Prologue
the last flame/the last flame.exe	The Last Flame
the last hero of nostalgaia demo/tlhon.exe	The Last Hero of Nostalgaia Demo
the last man survivor prologue/the last man survivor.exe	The Last Man Survivor
the last of us part i/tlou-i.exe	The Last of Us Part I
the last of us part ii/tlou-ii.exe	The Last of Us Part II Remastered
the last of waifus/the last of waifus.exe	The Last of Waifus
the last plague/thelastplague.exe	The Last Plague: Blight
the last sovereign/game.exe	The Last Sovereign
the last spell/the last spell.exe	The Last Spell
the last stand aftermath demo/tlsa.exe	The Last Stand: Aftermath Demo
the last stand aftermath/tlsa.exe	The Last Stand: Aftermath
the legend of bum-bo/the legend of bum-bo.exe	The Legend of Bum-bo
the legend of heroes trails from zero/zero.exe	The Legend of Heroes: Trails from Zero
the legend of heroes trails through daybreak/kuro.exe	The Legend of Heroes: Trails Through Daybreak
the legend of korra/lok.exe	The Legend of Korra
the lego movie 2 videogame/lego the lego movie 2_dx11.exe	The LEGO Movie 2 Videogame
the letter/the letter.exe	The Letter: Classic Edition
the life and suffering of sir brante prologue/brante_demo.exe	The Life and Suffering of Sir Brante — Chapter 1&2
the life and suffering of sir brante/the life and suffering of sir brante.exe	The Life and Suffering of Sir Brante
the light brigade/lightbrigade.exe	The Light Brigade
the little red lie/the little red lie.exe	The Little Red Lie
the local/the local.exe	The Local
the long drive/thelongdrive.exe	The Long Drive
the longest journey/game.exe	The Longest Journey
the longing/the longing.exe	THE LONGING
the looker/the looker.exe	The Looker
the lust city/thelustcity.exe	The Lust City
the mageseeker/the mageseeker.exe	The Mageseeker: A League of Legends Story
the magician's research/the magicians research.exe	The Magician's Research
the messenger/themessenger.exe	The Messenger
the midnight walkers demo/projectmw/binaries/win64/projectmw-win64-shipping.exe	The Midnight Walkers
the mortuary assistant/the mortuary assistant demo.exe	The Mortuary Assistant Demo
the mortuary assistant/the mortuary assistant.exe	The Mortuary Assistant
the mr. rabbit magic show/themrrabbitmagicshow.exe	The Mr. Rabbit Magic Show
the murder of sonic the hedgehog/the murder of sonic the hedgehog.exe	The Murder of Sonic the Hedgehog
the night of the rabbit/rabbit.exe	The Night of the Rabbit
the noexistencen of you and me/thenoexistencenofyouandme.exe	The NOexistenceN of you AND me
the normal thing/thenormalthing.exe	THE NORMAL THING
the one who pulls out the sword will be crowned king/the one who pulls out the sword will be crowned king.exe	The One Who Pulls Out the Sword Will Be Crowned King
the oracle land/t10game.exe	The Oracle Land
the ouroboros king demo/the ouroboros king.exe	The Ouroboros King
the painscreek killings/painscreek.exe	The Painscreek Killings
the pale beyond/the pale beyond.exe	The Pale Beyond
the past within demo/thepastwithindemo.exe	The Past Within Demo
the past within/the past within.exe	The Past Within
the pedestrian demo/thepedestrian-win-demo-64.exe	The Pedestrian Demo
the pedestrian/theped_win_64.exe	The Pedestrian
the penguingame 2 -lies of penguin-/peguinno2.exe	The PenguinGame 2: Lies of Penguin
the perfect tower ii/the perfect tower ii.exe	The Perfect Tower II
the pillars of the earth/pillars.exe	Ken Follett's The Pillars of the Earth
the pirate caribbean hunt/thepirate.exe	The Pirate: Caribbean Hunt
the pirate plague of the dead/thepirate2.exe	The Pirate: Plague of the Dead
the pit/thepit.exe	Sword of the Stars: The Pit
the plan/the plan.exe	The Plan
the planet crafter demo/planet crafter.exe	The Planet Crafter Demo
the planet crafter prologue/planet crafter.exe	The Planet Crafter: Prologue
the planet crafter/planet crafter.exe	Planet Crafter
the political machine 2020/the political machine 2020.exe	The Political Machine 2020
the political process/thepoliticalprocess.exe	The Political Process
the pony factory/the pony factory.exe	The Pony Factory
the precinct/precinct.exe	The Precinct
the purring quest/thepurringquest.exe	The Purring Quest
the quinfall/thequinfall.exe	The Quinfall
the ramp/the ramp.exe	The Ramp
the ranger lost tribe/the ranger lost tribe demo.exe	The Ranger: Lost Tribe
the red lantern/theredlantern_sw.exe	The Red Lantern
the red solstice/bin/game.exe	The Red Solstice
the red strings club/trsc2017.exe	The Red Strings Club
the riflemen/the riflemen.exe	The Riflemen
the rise of the golden idol/game.exe	The Rise of the Golden Idol
the rogue prince of persia/the rogue prince of persia.exe	The Rogue Prince of Persia
the room old sins/oldsins.exe	The Room 4: Old Sins
the room syndrome/the room syndrome.exe	The Room Syndrome
the room vr/theroomvr.exe	The Room VR: A Dark Matter
the roottrees are dead/roottrees.exe	The Roottrees Are Dead
the rpg engine/the_rpg_engine.exe	The RPG Engine
the saboteur/saboteur.exe	The Saboteur
the sacred tears true.exe	The Sacred Tears TRUE
the sandbox evolution/thesandbox2.exe	The Sandbox Evolution
the sapling/the_sapling.exe	The Sapling
the scroll of taiwu/the scroll of taiwu alpha v1.0.exe	The Scroll of Taiwu
the search/thesearch.exe	The Search
the secret atelier/the secret atelier.exe	The Secret Atelier
the settlers online/nw.exe	The Settlers Online
the seven realms - realm 1/thesevenrealms.exe	The Seven Realms: Realm 1 - Terran
the seven realms-high lathion/thesevenrealms.exe	The Seven Realms: Realm 3 - High Lathión
the shapeshifting detective/shapeshiftingdetective.exe	The Shapeshifting Detective
the ship remasted/theshipremasted.exe	The Ship: Remasted
the ship single player/ship.exe	The Ship: Single Player
the ship/ship.exe	The Ship: Murder Party
the shrouded isle/theshroudedisle.exe	The Shrouded Isle
the silent age/thesilentage.exe	The Silent Age
the silver case/thesilvercase.exe	The Silver Case
the sims legacy collection/sims.exe	The Sims: Legacy Collection
the slormancer/the slormancer.exe	The Slormancer
the song of saya/saya_steam.exe	Saya no Uta
the spell brigade/thespellbrigade.exe	The Spell Brigade
the spike/the_spike.exe	The Spike
the stanley parable demo/stanley.exe	The Stanley Parable Demo
the stanley parable ultra deluxe/the stanley parable ultra deluxe.exe	The Stanley Parable: Ultra Deluxe
the stanley parable/stanley.exe	The Stanley Parable
the static speaks my name/thestatic_win.exe	the static speaks my name
the stillness of the wind/stillnesswin.exe	The Stillness of the Wind
the supper/the supper.exe	The Supper
the survey/visibility03.exe	The Survey
the survivalists demo/the survivalists.exe	The Survivalists Online Demo
the survivalists/the survivalists.exe	The Survivalists
the swapper/theswapper.exe	The Swapper
the swords of ditto/the_swords_of_ditto.exe	The Swords of Ditto: Mormo's Curse
the technomancer/thetechnomancer.exe	The Technomancer
the tenants - free trial/the tenants - free trial.exe	The Tenants - Free Trial
the tenants/the tenants.exe	The Tenants
the test final revelation/game.exe	The Test: Final Revelation
the test hypothesis rising/game.exe	The Test: Hypothesis Rising
the test/game.exe	The Test
the testament of sherlock holmes/game.exe	The Testament of Sherlock Holmes
the thing remastered/amun_shipping_steam_x64.exe	The Thing: Remastered
the thrill of the fight/game.exe	The Thrill of the Fight
the timeless child/the timeless child prologue.exe	The Timeless Child
the tiny bang story/ttbs.exe	The Tiny Bang Story
the town of light/ttol.exe	The Town of Light
the two of us/the two of us.exe	The Two of Us
the uncertain/splash.exe	The Uncertain: Last Quiet Day
the unfinished swan/tus.exe	The Unfinished Swan
the universim.exe	The Universim
the unliving/the unliving.exe	The Unliving
the upturned/the upturned.exe	The Upturned
the void rains upon her heart/the void rains upon her heart.exe	The Void Rains Upon Her Heart
the walking dead - a new frontier (season 3)/walkingdead3.exe	The Walking Dead: A New Frontier
the walking dead destinies/the walking dead destinies.exe	The Walking Dead: Destinies
the walking dead michonne/walkingdeadmichonne.exe	The Walking Dead: Michonne
the walking dead no man's land/the walking dead no man's land.exe	The Walking Dead: No Man's Land
the walking dead the final season demo/walkingdead4demo.exe	The Walking Dead: The Final Season Demo
the walking dead the telltale definitive series/wdc.exe	The Walking Dead: The Telltale Definitive Series
the walking fish 2 final frontier/twf2.exe	The Walking Fish 2: Final Frontier
the walking zombie 2/the walking zombie 2.exe	The Walking Zombie 2
the watchers/thewatchers.exe	The Watchers
the way of life/thewayoflifedemowindows.exe	The Way of Life: Free Edition
the werecleaner/the werecleaner.exe	The WereCleaner
the white door/thewhitedoor.exe	The White Door
the wife next door/thewifenextdoor.exe	The Wife Next Door
the witch's house mv/game.exe	The Witch's House MV
the witcher adventure game/thewitcheradventuregame.exe	The Witcher: Adventure Game
the witcher enhanced edition/benioku.exe	The Witcher: Enhanced Edition
the you quiz demo/theyouquiz.exe	The You Quiz - Friend's Pass
the-scourge/thescourge.exe	The Scourge
the_settlers/the_settlers.exe	The Settlers: New Allies
thea 2 the shattering/thea2.exe	Thea 2: The Shattering
thea the awakening/thea.exe	Thea: The Awakening
theblu/theblu.exe	theBlu
thebobateashop/the boba teashop.exe	The Boba Teashop
thebridge/the bridge.exe	The Bridge
thebureau.exe	The Bureau: XCOM Declassified
thecatlady/thecatlady.exe	The Cat Lady
thecave/cave.exe	The Cave
thecoingame/thecoingame.exe	The Coin Game
thecrew.exe	The Crew
thecrew2.exe	The Crew 2
theculling/victory/binaries/win64/victory.exe	The Culling
thedawn/thedawn.exe	TheDawn
thedishwashervampiresmile/vampiresmile.exe	The Dishwasher: Vampire Smile
thedivision.exe	Tom Clancy's The Division
thedivision.exe	Tom Clancy's The Division Trial
thedungeonbeneath/thedungeonbeneath.exe	The Dungeon Beneath
theendisnigh.exe	The End Is Nigh
theescapists.exe	The Escapists
theescapists2.exe	The Escapists 2
theexit-win64-shipping.exe	Deathgarden: BLOODHARVEST
theexperimentescaperoom/the experiment.exe	The Experiment: Escape Room
thefall/thefall.exe	The Fall
thefinalstation/thefinalstation.exe	The Final Station
thefisher online/thefisher.exe	theFisher Online
theforest.exe	The Forest
thegolfclub2/golf.exe	The Golf Club 2
thegreatwar/clientg64.exe	The Great War: Western Front
thehunter.exe	theHunter Classic
thehuntercotw_f.exe	theHunter: Call of the Wild
theimpossiblegame/impossiblegame.exe	The Impossible Game
theinnerworld.exe	The Inner World
thelab.exe	The Lab
thelaststandlegacycollection.app/thelaststandlegacycollection.exe	The Last Stand Legacy Collection
them bombs demo/them bombs demo.exe	Them Bombs!
them's fightin' herds/them's fightin' herds.exe	Them's Fightin' Herds
themisfits.exe	The Misfits
themonsterinside/the monster inside.exe	The Monster Inside
themound-win64-shipping.exe	The Mound: Omen of Cthulhu
thenewz.exe	Infestation: The New Z
thepark.exe	The Park
thepriceofflesh-market/thepriceofflesh.exe	The Price of Flesh
there is no game  jam edition 2015/ting_jam.exe	There Is No Game: Jam Edition 2015
there is no game - wrong dimension/ting.exe	There Is No Game: Wrong Dimension
there's poop in my soup/poopinmysoup.exe	There's Poop In My Soup
therewasacaveman.exe	There Was a Caveman
theroom/theroom.exe	The Room
theroomthree/theroomthree.exe	The Room Three
theroomtwo/theroomtwo.exe	The Room Two
thesecretworld.exe	The Secret World
thesecretworlddx11.exe	The Secret World
thespacegame.exe	Ascent: The Space Game
thespikecross/thespike-cross.exe	The Spike Cross
thesurge.exe	The Surge
thewalkingdead2.exe	The Walking Dead: Season Two
thewilds/the wilds.exe	The WILDS
thewolfamongus.exe	The Wolf Among Us
they are coming/they are coming.exe	They Are Coming
they bleed pixels/they bleed pixels pc.exe	They Bleed Pixels
they can't stop all of us/they cant stop all of us.exe	They Can't Stop all of Us
they killed your cat/they killed your cat.exe	They Killed Your Cat
theyarebillions.exe	They Are Billions
thief simulator 2 prologue/thief simulator 2 prologue.exe	Thief Simulator 2: Prologue
thief simulator 2/thief simulator 2.exe	Thief Simulator 2
thief simulator vr/thiefsimulatorvr.exe	Thief Simulator VR
thief simulator/thief.exe	Thief Simulator
thief_2/thief2.exe	Thief II: The Metal Age
thief_gold/thief.exe	Thief Gold
thimbleweed park/thimbleweedpark.exe	Thimbleweed Park
third crisis/thirdcrisis.exe	Third Crisis
this is the police/police.exe	This Is the Police
this land is my land/this land is my land.exe	This Land Is My Land
this means warp/this means warp.exe	This Means Warp
this war of mine.exe	This War of Mine
thmhj.exe	Touhou Makuka Sai: Fantastic Danmaku Festival
thomaswasalone.exe	Thomas Was Alone
those games 2/those games 2.exe	Yeah! You Want "Those Games", Right? So Here You Go! Now, Let's See You Clear Them! 2
those games/those games.exe	Yeah! You Want "Those Games", Right? So Here You Go! Now, Let's See You Clear Them!
thrillville07.exe	Thrillville: Off the Rails
thrive heavy lies the crown/thrive hltc.exe	Thrive: Heavy Lies the Crown
thrive/thrive.exe	Thrive
thronebreaker.exe	Thronebreaker: The Witcher Tales
thronefall demo/thronefall.exe	Thronefall Demo
thronefall/thronefall.exe	Thronefall
throneoflies.exe	Throne of Lies: Medieval Politics
through the ages/throughtheages_steam.exe	Through the Ages
through the darkest of times/ttdot.exe	Through the Darkest of Times
through the woods/through the woods.exe	Through the Woods
thug.exe	Tony Hawk's Underground
thug2.exe	Tony Hawk's Underground 2
thumper/thumper_win8.exe	Thumper
tianyu.exe	Revelation Online
tiaw/slg.exe	Trip In Another World
tibia.exe	Tibia
tibia/bin/client.exe	Tibia
ticket to ride.exe	Ticket to Ride
ticktock/tick tock.exe	Tick Tock: A Tale for Two
tiger knight/bin/frontend.exe	Tiger Knight
tile runner/game.exe	Tile Runner
tileplacer/panorama.exe	Pan'orama
timberborn/timberborn.exe	Timberborn
timberman/timberman.exe	Timberman
timbermanvs/timbermanvs.exe	Timberman VS
time warpers/timewarpers.exe	Time Warpers
time wasters/timewasters.exe	Time Wasters
timeclickers.exe	Time Clickers
timelie/timelie.exe	Timelie
timelinewalkerdarkworld/timeline walker dark world.exe	Time Walker: Dark World
timeofdragons/tod.exe	Time of Dragons
timespinner/timespinner.exe	Timespinner
tin can/tin can.exe	Tin Can
tinkerlands a shipwrecked adventure/tinkerlands.exe	Tinkerlands: A Shipwrecked Adventure
tinkerlands/tinkerlands.exe	Tinkerlands
tinkertown/tinkertown.exe	Tinkertown
tint 'n ink/tint n ink.exe	Tint n Ink
tiny aquarium/tiny aquarium.exe	Tiny Aquarium: Social Fishkeeping
tiny bookshop/tiny bookshop.exe	Tiny Bookshop
tiny glade/tiny-glade.exe	Tiny Glade
tiny heroes 2/tiny heroes 2.exe	Tiny Heroes 2
tiny pasture/tinypasture.exe	Tiny Pasture
tiny rogues/tiny rogues.exe	Tiny Rogues
tiny tactics/tiny tactics.exe	Tiny Tactics
tiny terry's turbo trip/tiny terry's turbo trip.exe	Tiny Terry's Turbo Trip
tiny town vr/tiny town vr.exe	Tiny Town VR
tinybunny/tinybunny.exe	Tiny Bunny
tinycombatarena/arena.exe	Tiny Combat Arena
tinyfolks/tinyfolks.exe	Tinyfolks
tinykin/tinykin.exe	Tinykin
tinysurvivors/tinysurvivors.exe	Tiny Survivors
tis100.exe	TIS-100
titan chaser/titan chaser.exe	Titan Chaser
titan quest/titan quest.exe	Titan Quest
titan souls/titan.exe	Titan Souls
titanfall.exe	Titanfall
titanfall2.exe	Titanfall 2
titus/opu3.exe	One Piece: Unlimited World Red - Deluxe Edition
titus/rhythm castle.exe	Super Crazy Rhythm Castle
tjpp.exe	The Jackbox Party Pack
tkom.exe	Take on Mars
tld.exe	The Long Dark
tljh-win64-shipping.exe	The Long Journey Home
tlr.exe	The Last Remnant
tmforever.exe	TrackMania Nations Forever
tmforever.exe	TrackMania United Forever
tmnt cowabunga/tmnt_cowabunga.exe	Teenage Mutant Ninja Turtles: The Cowabunga Collection
tmnt/tmnt.exe	Teenage Mutant Ninja Turtles: Shredder's Revenge
tmnt2.exe	Teenage Mutant Ninja Turtles 2: Battle Nexus
tmodloader/tmodloader.exe	tModLoader
tmodloader/tmodloader64bit.exe	tModLoader
to pixelia/to pixelia.exe	To Pixelia
to the moon.exe	To the Moon
to the rescue!/to the rescue!.exe	To the Rescue!
to the top/tothetop.exe	TO THE TOP
toasterball/toasterball.exe	Toasterball
todo today/todo-today.exe	//Todo: today
toejam & earl back in the groove/backinthegroove.exe	ToeJam & Earl: Back in the Groove
toem/toem.exe	TOEM
tofas sahin online car driving/tofas sahin online car driving.exe	Tofas Sahin: Online Car Driving
together after dark/togetherafterdark.exe	Together After Dark
together in between chapter one/together in between.exe	Together in Between
tokyo 42/t42.exe	Tokyo 42
tokyo dark/nw.exe	Tokyo Dark
tokyo xanadu ex+/tokyoxanadu.exe	Tokyo Xanadu eX+
tokyo2020/musashi.exe	Olympic Games Tokyo 2020: The Official Video Game
tom clancy's rainbow six siege - test server/rainbowsix_vulkan.exe	Tom Clancy's Rainbow Six Siege - Test Server
tom clancy's rainbow six siege/rainbowsix.exe	Rainbow Six Siege
tom clancy's rainbow six siege/rainbowsix_vulkan.exe	Rainbow Six Siege
tom clancy's the division 2/thedivision2.exe	Tom Clancy's The Division 2
tom clancy’s rainbow six extraction/r6-extraction.exe	Tom Clancy's Rainbow Six Extraction
tomb raider anniversary/tra.exe	Tomb Raider: Anniversary
tomb raider i-iii remastered/tomb123.exe	Tomb Raider I•II•III Remastered
tomb raider iv-vi remastered/tomb456.exe	Tomb Raider IV•V•VI Remastered
tomb raider legend/trl.exe	Tomb Raider: Legend
tomb2.exe	Tomb Raider II
tomb3.exe	Tomb Raider III: Adventures of Lara Croft
tomb4.exe	Tomb Raider: The Last Revelation
tombraider.exe	Tomb Raider
tomoyo after ~it's a wonderful life~ english edition/realliveen.exe	Tomoyo After: It's a Wonderful Life - Memorial Edition
tools up! demo/tools up demo.exe	Tools Up! Demo
tools up!/tools up.exe	Tools Up!
toolsus/final fantasy xi config.exe	Final Fantasy XI: Ultimate Collection - Seekers Edition
toontown rewritten/ttrengine.exe	Toontown Rewritten
toothandtail.exe	Tooth and Tail
top speed 2/top speed 2.exe	Top Speed 2: Racing Legends
topple tactics/topple tactics.exe	Topple Tactics
topspin 2k25/topspin2k25.exe	TopSpin 2K25
toram online/toramonline.exe	Toram Online
torchlight.exe	Torchlight
torchlight2.exe	Torchlight II
toree 3d/toree3d.exe	Toree 3D
toren.exe	Toren
toribash next/toribashnext.exe	Toribash Next
toribash.exe	Toribash
torment.exe	Planescape: Torment
tormented souls demo/tormentedsoulsdemo.exe	Tormented Souls Demo
tormented souls/tormentedsouls.exe	Tormented Souls
tormentorxpunisher.exe	Tormentor X Punisher
tormentorxpunishergit.exe	Tormentor X Punisher
total annihilation/totala.exe	Total Annihilation
total miner/studioforge.totalminer.exe	Total Miner
total tank simulator demo/totaltanksim.exe	Total Tank Simulator Demo
total tank simulator/totaltanksim.exe	Total Tank Simulator
total war battles kingdom/twb_kingdom.exe	Total War Battles: Kingdom
total war pharaoh dynasties/pharaoh.exe	Total War: Pharaoh Dynasties
total war rome remastered/total war rome remastered.exe	Total War: Rome Remastered
total war saga thrones of britannia/thrones.exe	Total War Saga: Thrones of Britannia
total war shogun 2/modmanager.exe	Total War: Shogun 2
total war three kingdoms/three_kingdoms.exe	Total War: Three Kingdoms
total war warhammer iii/warhammer3.exe	Total War: WARHAMMER III
total war warhammer/launcher/launcher.exe	Total War: Warhammer
total_war_arena/arena.exe	Total War: Arena
totally accurate battle simulator/totallyaccuratebattlesimulator.exe	Totally Accurate Battle Simulator
totally accurate battle zombielator/game.exe	Totally Accurate Battle Zombielator
totally reliable delivery service beta/totally reliable delivery service.exe	Totally Reliable Delivery Service Beta
totally reliable delivery service/totally reliable delivery service.exe	Totally Reliable Delivery Service
totallyaccuratebattlegrounds.exe	Totally Accurate Battlegrounds
totemori_win64/totemori_win64.exe	Totemori
tothecore/tothecore.exe	To the Core
tots/tots.exe	Tales of the Shire
touchstarved demo/touchstarved.exe	TOUCHSTARVED
touge shakai/touge shakai.exe	Touge Shakai
touhou artificial dream in arcadia/adia.exe	Touhou Artificial Dream in Arcadia
touhou big big battle/touhou big big battle.exe	Touhou Big Big Battle
touhou fantasia/touhoufantasia.exe	Touhou Fantasia
touhou luna nights/touhou_luna_nights.exe	Touhou Luna Nights
touhou mystia izakaya/touhou mystia izakaya.exe	Touhou Mystia's Izakaya
touhouscarletcuriosity/scarletcuriosity.exe	Touhou: Scarlet Curiosity
tower 3d pro/tower3d.exe	Tower!3D Pro
tower 57/tower57.exe	Tower 57
tower and sword succubus/succubus_sword.exe	Tower and Sword of Succubus
tower dominion/tower-dominion.exe	Tower Dominion
tower factory/towerfactory.exe	Tower Factory
tower keepers.exe	Tower Keepers
tower keepers/tower keepers.exe	Tower Keepers
tower of babel (demo)/tower of babel (demo).exe	Tower of Babel: Survivors of Chaos
tower of babel/tower of babel.exe	Tower of Babel: Survivors of Chaos
tower of time/toweroftime.exe	Tower of Time
tower tactics liberation/game.exe	Tower Tactics: Liberation
tower wars/tw.exe	Tower Wars
tower wizard/tower wizard.exe	Tower Wizard
tower! simulator 3/tower! simulator 3.exe	Tower! Simulator 3
tower-win64-shipping.exe	Tower Unite
towerfall.exe	TowerFall Ascension
towerofguns2-win64-shipping.exe	Mothergunship
town of salem 2/townofsalem2.exe	Town of Salem 2
town of sins/townofsins.exe	Town of Sins
townofsalem.exe	Town of Salem
townscaper/townscaper.exe	Townscaper
townsmen - a kingdom rebuilt/townsmenrebuilt.exe	Townsmen: A Kingdom Rebuilt
townsmen.exe	Townsmen
toxikk.exe	TOXIKK
toy shire room one/toy shire room one.exe	Toy Shire
toy shire/toy shire.exe	Toy Shire
toy soldiers complete/game.exe	Toy Soldiers: Complete
toy soldiers/gamesw.exe	Toy Soldiers
toy story 3/game-ts3.exe	Toy Story 3: The Video Game
toyboxturbos/toyboxturbos.exe	Toybox Turbos
tph.exe	Two Point Hospital
tq.exe	Titan Quest Anniversary Edition
tra.exe	Tomb Raider: Anniversary
trackday manager.exe	Trackday Manager
trackdayr/track day r.exe	TrackDayR
trackmania/trackmania.exe	Trackmania
trackmaniaturbo.exe	TrackMania Turbo
tracknburn_windows/track & burn.exe	Track & Burn
tradesmandtd/tradesman.exe	Tradesman: Deal to Dealer
traha global/trahaglobal_eac.exe	Traha Global
trailer park boys greasy money/game.exe	Trailer Park Boys: Grea$y Money
trailmakers/trailmakers.exe	Trailmakers
trails in the sky 1st chapter/sora_1st.exe	Trails in the Sky 1st Chapter
trails in the sky the 3rd/ed6_win3_dx9.exe	The Legend of Heroes: Trails in the Sky the 3rd
trails of cold steel/ed8.exe	The Legend of Heroes: Trails of Cold Steel
train driver 2/traindriver2.exe	Train Driver 2
train fever/trainfever.exe	Train Fever
train mechanic simulator 2017/tms.exe	Train Mechanic Simulator 2017
train station renovation - first job/trainstationrenovation.exe	Train Station Renovation: First Job
train station renovation demo/trainstationrenovation.exe	Train Station Renovation Demo
train station renovation/tsr_steam.exe	Train Station Renovation
train valley 2/trainvalley2.exe	Train Valley 2
train valley/train-valley.exe	Train Valley
trainatic/trainatic.exe	Trainatic
trainz a new era/tane.exe	Trainz: A New Era
trainz railroad simulator 2019/trs19.exe	Trainz Railroad Simulator 2019
trainz railroad simulator 2022/trs22.exe	Trainz Railroad Simulator 2022
traitors in salem/traitorsinsalem.exe	Traitors in Salem
traktor.amalgam.app.exe	Gear Up
transforbest.exe	TransforBest
transformative summer life with a ts companion/tensei.exe	Transformative Summer: Life with a TS Companion
transformice adventures demo/tfmadventures.exe	Transformice Adventures
transistor.exe	Transistor
transmissions element 120/hl2.exe	Transmissions: Element 120
transocean - the shipping company/transocean.exe	TransOcean: The Shipping Company
transport defender/td.exe	Transport Defender
transport fever 2/transportfever2.exe	Transport Fever 2
transport inc/transportinc.exe	Transport INC
transportfever.exe	Transport Fever
traod_p4.exe	Tomb Raider: The Angel of Darkness
trapped with jester/trappedwithjester-32.exe	Trapped with Jester
trappeddeadlockdown.exe	Trapped Dead: Lockdown
trapper's delight/trappersdelight.exe	Trapper's Delight
trash can army/trash can army.exe	Trash can Army
trashgoblin/trashgoblin.exe	Trash Goblin
trayracers/trayracers.exe	Tray Racers!
treason/hl2.exe	Treason
treasure hunter claire/game.exe	Treasure Hunter Claire
treasure of nadia/game.exe	Treasure of Nadia
treasurechestclicker/treasurechestclicker.exe	Treasure Chest Clicker
tree simulator 2022/tree simulator 2022.exe	Tree Simulator 2022
trendpoker 3d free online poker/trendpoker.exe	Trendpoker 3D: Free Online Poker
trgame.exe	Tales Runner
trials_fusion.exe	Trials Fusion
